,Sermons,Dates,Description,Links
625,Doing That ONE Thing ,16 January 2005,"In a world filled with cares and distractions, Jesus says that only ONE thing is needful. Listen and discover the ONE thing that will help us live the let-go life!
",https://www.josephprince.com/sermons/doing-that-one-thing?sku=20050116M3
626,Remember Lot's Wife ,13 January 2005,"It was Jesus who exhorted us to remember Lot&#039;s wife. Why? What did she look at that brought her death? Find out and be astounded!
",https://www.josephprince.com/sermons/remember-lots-wife?sku=20050113M3
627,Why Did God Allow That To Happen? ,9 January 2005,"How could Almighty God allow the Asian tsunami disaster to take place? Isn&#039;t He in control of this world? If these are among the niggling questions in your mind, this message will provide you with the answers straight from the Bible.
",https://www.josephprince.com/sermons/why-did-god-allow-that-to-happen?sku=20050109M3
628,What Jesus Said About The Asian Tsunami ,6 January 2005,"Thousands were devastated by the tsunami. Millions more are asking the what&#039;s and why&#039;s. Find out what Jesus says about such an event and what is coming up next.
",https://www.josephprince.com/sermons/what-jesus-said-about-the-asian-tsunami?sku=20050106M3
629,Live The Let-Go Life! ,2 January 2005,"God wants you worry-free. So today you can stop worrying because Jesus has given you His peace; not just a peace in the calm, but a peace that can survive storms. And when you stay in peace, you will stay permanently healed and perfectly whole.
",https://www.josephprince.com/sermons/live-the-let-go-life_hsK?sku=20050102M3
630,5 Indisputable Proofs That God Is For You ,26 December 2004,"God is FOR you not against you. And when you know this indisputable truth, you will never regret the past or fear the future. You will know He is your ever-PRESENT help in time of need.
",https://www.josephprince.com/sermons/5-indisputable-proofs-that-god-is-for-you?sku=20041226M3
631,You Can Change God's Mind ... If You Know God's Heart ,19 December 2004,"In the face of impossible situations, God does not want you to roll over and play dead. He wants you have a faith that believes He will do exceedingly abundantly above all you can ask or imagine. Catch a glimpse of God&#039;s inexhaustible grace and you will walk in an invincible faith.
",https://www.josephprince.com/sermons/you-can-change-gods-mind-if-you-know-gods-heart?sku=20041219M3
632,Right Believing Produces Right Living ,16 December 2004,"Christians get into trouble when they hang on to wrong beliefs. However, believing the new covenant always results in right living and great blessings. If you are experiencing some trouble or feel that God&#039;s blessings don&#039;t seem to flow in your life, this messagewill anchor you on God&#039;s key new covenant truth that will unleash His power to live a life that is blessed beyond your fondest dreams.
",https://www.josephprince.com/sermons/right-believing-produces-right-living?sku=20041216M3
633,You Have The Right To Supernatural Favour! ,12 December 2004,"People of the world can only depend on natural favour and achieve natural results. God&#039;s children have the right to His supernatural favour and will experience super-abundant, supernatural blessings.
",https://www.josephprince.com/sermons/you-have-the-right-to-supernatural-favour?sku=20041212M3
634,A Bit Of Law + A Bit Of Grace = Ministry Of Death ,9 December 2004,"Some Christians erroneously believe that they can achieve balance in their lives through applying a bit of law and a bit of grace. They forget that the new covenant is a covenant of grace
",https://www.josephprince.com/sermons/a-bit-of-law-a-bit-of-grace-ministry-of-death?sku=20041209M3
635,What Do You Have In The House? ,28 November 2004,"Step out in faith and bless others with what little you have, and God will do a miracle of multiplication as you give. Moreover, His blessing will not stop until you say, Stop! Enough! Hear these wonderful truths expounded in the story of the feeding of the 5,000, and Elisha and the widow&#039;s oil.
",https://www.josephprince.com/sermons/what-do-you-have-in-the-house?sku=20041128M3
636,Coming Out Of Babylon (Confusion) ,26 November 2004,"In this message, learn the dangers of being lukewarm and what God really meant when He said, So then, because you are lukewarm, and neither cold nor hot, I will vomit you out of my mouth. (Revelations 3:16)&amp;nbsp;
",https://www.josephprince.com/sermons/coming-out-of-babylon-confusion?sku=20041126M3
637,Kings And Priests In Christ - What It Means? ,21 November 2004,"Jesus &#039;ministry today is after the order of Melchizedek. Learn why this truth is so important in our lives, and how understanding this truth ensures that we receive the miracles and blessings that we need.
",https://www.josephprince.com/sermons/kings-and-priests-in-christ-what-it-means?sku=20041121M3
638,Being Conscious Of The Ever-Cleansing Blood Of Christ ,14 November 2004,"Discover the extent of Christ&#039;s finished work on the cross and how it is His blood that enables you to live above your circumstances today. This message will cause you to see what Christ has won for you through His finished work and how to triumph over your challenges today.
",https://www.josephprince.com/sermons/being-conscious-of-the-ever-cleansing-blood-of-christ?sku=20041114M3
639,Unveiling The Mystery Of Obed-Edom's Blessings ,7 November 2004,"The Lord blessed the house of Obed-Edom and all that belonged to him when the ark of the covenant was in his house for three months. But when the ark was in the house of Abinadab for 20 years, the Bible does not tell us that he was blessed. Why the inconsistency? Listen to this message and unravel the mystery behind Obed-Edom&#039;s blessings!
",https://www.josephprince.com/sermons/unveiling-the-mystery-of-obed-edoms-blessings?sku=20041107M3
640,The Book Of Revelation In The Light Of The Finished Work ,22 October 2004,"The book of Revelation has traditionally been seen as a frightening book about future wars, terrible earthquakes, dreadful plagues and the beast. Few realise that it is about the revelation of Jesus. So take a fresh look at the book in the light of God&#039;s grace, and see how the pages speak of Christ and His finished work on the cross.
",https://www.josephprince.com/sermons/the-book-of-revelation-in-the-light-of-the-finished-work?sku=20041022M3
641,Divine Secrets From The Book Of Esther ,14 October 2004,"The name of God is hidden in codes in the book of Esther. And these codes are all meant to be uncovered for our benefit! Listen to this message and discover the beautiful secrets that God has hidden in this Old Testament book.
",https://www.josephprince.com/sermons/divine-secrets-from-the-book-of-esther?sku=20041014M3
642,"Loosed From Infirmity, Set Free To Live ",10 October 2004,"Why are Christians who are supposed to be free oppressed and in bondage today? Learn the answer to this question and be encouraged as you hear how God does not want His children in any kind of bondage. Through the account of the woman who had been bowed over for 18 years, find out how we get into bondage in the first place and how Christ has set us free from all infirmity and oppression in our lives.
",https://www.josephprince.com/sermons/loosed-from-infirmity-set-free-to-live?sku=20041010M3
643,God Will Turn Your Evil Day Into Good Days ,8 October 2004,"Sometimes, when you are going through a difficult period or an evil day, it seems like God has taken a back seat and does not care. Nothing could be further from the truth. God is actually working behind the scenes to turn it all around for your good! See this truth unveiled in the story of Esther and be edified!&amp;nbsp;&amp;nbsp;
",https://www.josephprince.com/sermons/god-will-turn-your-evil-day-into-good-days?sku=20041008M3
644,Having Full Assurance Of Faith With A Perfect Conscience ,3 October 2004,"God wants you to have a perfect conscience, not one that is screaming condemnation at you. But how can you bring peace to your conscience? This message shows you how and why the only way to have a perfect conscience is to revert to the cross and see the blood of Christ shed for you. Find out how you can bring peace to your conscience and live free from fear, an expectation of punishment and guilt forever.
",https://www.josephprince.com/sermons/having-full-assurance-of-faith-with-a-perfect-conscience?sku=20041003M3
645,Jesus Our True Jubilee And Sabbath ,30 September 2004,"The Jews celebrate the year of Jubilee every 50 years, and they rest on the Sabbath every week. In the new covenant, Jesus is our true Jubilee and Sabbath because of His finished work at the cross. And God wants us to be found resting in the finished work at the cross. And God wants us to be found resting in the finished work of His Son... all the time.
",https://www.josephprince.com/sermons/jesus-our-true-jubilee-and-sabbath?sku=20040930M3
646,"God Sees You Without Spot, How About You? ",24 September 2004,"As long as you are born again, God sees you without spot - blameless and beautiful in Christ. And the more you line up your thoughts and beliefs with who you really are in Christ, the more you will come up higher and live godly lives without spot!
",https://www.josephprince.com/sermons/god-sees-you-without-spot-how-about-you?sku=20040924M3
647,The Love Secret Of The High Priest's Garments ,19 September 2004,"Great things happen when we lean on His breast of love and rest upon His shoulders of strength. Put your trust in Jesus&#039; love for you and see fresh revelation of that love as depicted through the High Priest&#039;s garments.
",https://www.josephprince.com/sermons/the-love-secret-of-the-high-priests-garments_oF7?sku=20040919M3
648,God Wants You To Live Knowing You're His Beloved ,12 September 2004,"Knowing that you are God&#039;s beloved, approved by Him, gives you stability in your Christian life. We do not earn this approval but it has been given to us through Jesus&#039; sacrifice at the cross. Listen to the message and become overcomers as you see yourself accepted in the Beloved, Jesus.
",https://www.josephprince.com/sermons/god-wants-you-to-live-knowing-youre-his-beloved?sku=20040912M3
649,Enjoy Peace When You Receive God's Forgiveness ,10 September 2004,"Have you ever wondered why some Christians are not enjoying the peace of God in our lives? Because we don&#039;t really believe how forgiven we are! The truth is that you have been totally forgiven of al your sins - past, present and future - at the cross! The more you believe this truth, the more you are able to enjoy His peace and joy in your life.
",https://www.josephprince.com/sermons/enjoy-peace-when-you-receive-gods-forgiveness?sku=20040910M3
650,The Importance Of A Daily Confession Of Your Righteousness In Christ ,29 August 2004,"Just what is &quot;confession&quot;? Confessing our sins all day long to be right with God? On the contrary, God wants us to use our faith to believe and confess daily that we are the righteousness of God in Christ. Why is this so important and how will it benefit us? Listen to this message and find out.
",https://www.josephprince.com/sermons/the-importance-of-a-daily-confession-of-your-righteousness-in-christ?sku=20040829M3
651,Those Whom God Judged Because Of Sins Against Grace ,26 August 2004,"To be added later.
",https://www.josephprince.com/sermons/those-whom-god-judged-because-of-sins-against-grace?sku=20040826M3
652,God's Delivery System—The Covenant Meal ,22 August 2004,"The Bible describes many instances in which a meal is shared right after a covenant has been initiated. In this message, discover how this covenant meal points to the Holy Communion and how partaking of it with a new revelation of this covenant meal will cause you to receive all of your heavenly inheritance.
",https://www.josephprince.com/sermons/gods-delivery-system-the-covenant-meal?sku=20040822VJ
653,The Blessing That Brings Every Blessing In Christ ,20 August 2004,"Walking more in the blessings of God is not about doing more for God. It is about believing more that your sins are forgiven, and that God remembers them no more. Hear this message and see how this is the blessing that ushers in all the other blessings into your life!
",https://www.josephprince.com/sermons/the-blessing-that-brings-every-blessing-in-christ?sku=20040820M3
654,The Covenant That Demonstrates His Health And Provision ,15 August 2004,"Would you like to enjoy divine health and walk in financial blessings? In this message, find out how when we remember the Lord, it is He who gives us divine health as well as the &quot;power to get wealth&quot;, according to Scripture. As we partake of the Holy Communion, we remember His death that releases the blessings of physical wholeness to our bodies. As we give our tithes to our Lord Jesus, we proclaim He is alive and will see His goodness and supply that bear evidence to this truth in our lives.
",https://www.josephprince.com/sermons/the-covenant-that-demonstrates-his-health-and-provision?sku=20040815M3
655,"When You Sin, Are You Still The Righteousness Of God? ",12 August 2004,"Many of us may say, &quot;Yes, I believe that I am righteous in Christ!&quot; But the real test comes when we sin. There and then, do we still believe that we are righteous and holy in God&#039;s eyes? Or do we begin to feel guilty and condemned - a subtle but greater form of self righteousness? Hear this message as it will establish you in righteousness.
",https://www.josephprince.com/sermons/when-you-sin-are-you-still-the-righteousness-of-god?sku=20040812M3
656,The Covenant Of Grace And The Kindness Of God ,8 August 2004,"Through the Bible story of David, Jonathan and Mephibosheth, find out the heart of God toward His people. You&#039;ll see God&#039;s kindness and love for you revealed as well as the whats and whys of the new covenant. This message will give you a fresh revelation of how much God wants to show kindness to His people.
",https://www.josephprince.com/sermons/the-covenant-of-grace-and-the-kindness-of-god_45v?sku=20040808M3
657,Hagar And Sarah - The Covenant Of Law And The Covenant Of Grace ,6 August 2004,"Here is a study of the two main covenants in the Bible as represented by Hagar and Sarah. Find out how God intends for us to live by the covenant of grace and simply receive the manifestation of his promises.
",https://www.josephprince.com/sermons/hagar-and-sarah-the-covenant-of-law-and-the-covenant-of-grace?sku=20040806M3
658,You Will Never Lose God's Everlasting Righteousness Given To You ,1 August 2004,"Have you ever wondered if it is possible to lose your righteousness? Then you need to realise the God&#039;s righteousness is a gift and not a bribe. Once given, God&#039;s gift of righteousness is irrevocable and independent of your works. That&#039;s why you can always expect God&#039;s goodness and blessings in your life.
",https://www.josephprince.com/sermons/you-will-never-lose-gods-everlasting-righteousness-given-to-you?sku=20040801M3
659,See Jesus In His Grace And He Will See You In Your Faith ,29 July 2004,"Are you looking at how much faith you have for your miracle, or are you looking at Jesus&#039; unmerited favor toward you? In this inspiring message by Joseph Prince, you&#039;ll discover how it is not how much faith you have, but how you esteem Jesus and His grace toward you that matters. When you fix your eyes on Jesus and His goodness, He sees that as great faith and grants you your miracle!
",https://www.josephprince.com/sermons/see-jesus-in-his-grace-and-he-will-see-you-in-your-faith?sku=20040729M3
660,Expect Good Because The Favour Of God Is On You In Christ ,25 July 2004,"The Apostle John tells us, &#039;As Christ is, so are we in this word.&#039; What does this really mean? In this message, find out how Christ&#039;s perfect and finished work at the cross causes God to see us in Christ and treat us as He treats Christ. Listen and be encouraged as you learn how God wants us to expect good things everyday because as Christ is, so are we in this world!
",https://www.josephprince.com/sermons/expect-good-because-the-favour-of-god-is-on-you-in-christ?sku=20040725M3
661,How You Can Win When You Lose ,22 July 2004,"The world loves to employ those with brains, braun and beauty. But God specialises in using the lost, the last and the least. This is because when such &quot;losers&quot; depend on His grace, and not their skills, looks or smarts, He can work freely in and through them, and turn them into champions!
",https://www.josephprince.com/sermons/how-you-can-win-when-you-lose?sku=20040722M3
662,Are You Living By The Peace Within? ,1 July 2004,"What is the basis for peace in your life? Your personal experiences, or the finished work of Christ? Listen to this message and learn how to follow the peace of God within you in your daily life, and how your peace becomes unshakeable when it is based on the finished work of Christ.
",https://www.josephprince.com/sermons/are-you-living-by-the-peace-within?sku=20040701M3
663,"If It's A Miracle You Need, A Miracle You'll Get - If You Remain In Peace   ",20 June 2004,"How do you make God-led decisions that will keep you out of trouble or lead you to success? How do you maintain divine health, especially after you have been healed? An important key is the peace that Jesus has given you. Find out what this peace encompasses, how you can be led by it and how you are to remain in it for continued success.
",https://www.josephprince.com/sermons/if-its-a-miracle-you-need-a-miracle-youll-get-if-you-remain-in-peace?sku=20040620M3
664,"When You Speak In Tongues, You Release Incense That Fumigates ",17 June 2004,"God has given us a simple, yet powerful weapon to defeat the enemies of our lives. When you pray in tongues, you fumigate or drive them away. Let&#039;s learn what the spices of the incense used in the Old Covenant mean for us today.
",https://www.josephprince.com/sermons/when-you-speak-in-tongues-you-release-incense-that-fumigates?sku=20040617M3
665,The Holy Spirit Who Zoe-fies Your Body ,30 May 2004,"In Romans 8, we see that the Holy Spirit gives life to our mortal bodies. Apostle Paul exhorted us to set our minds on the things of the spirit for that will lead us to enjoy zoe life. Find out what the Bible says about the zoe life and how to get that life to manifest in us.
",https://www.josephprince.com/sermons/the-holy-spirit-who-zoe-fies-your-body?sku=20040530M3
666,Living By The Promptings Of God ,27 May 2004,"Today, many Christians are looking for God&#039;s leading in the wrong places. Some of us seek God&#039;s audible voice, while others look for signs and wonders. But the truth is that in the new covenant, God leads us from the inside - through the promptings of the Holy Spirit, And it starts with knowing that all your sins are forgiven!
",https://www.josephprince.com/sermons/living-by-the-promptings-of-god?sku=20040527M3
667,Being Christ-Occupied And Not Self-Occupied ,23 May 2004,"When your miracle is not manifesting, do you ask yourself, What is wrong with me? What did I do wrong? That is to be self-occupied instead of Christ-occupied. Stop looking at yourself and look, instead, to Jesus. He has paid the price for your sins. It is His obedience, not yours, that qualifies you for God&#039;s blessings!
",https://www.josephprince.com/sermons/being-christ-occupied-and-not-self-occupied?sku=20040523M3
668,The Ashes Of The Red Heifer ,21 May 2004,"In the book of Numbers, the ashes of the red heifer is mixed with water and sprinkled for cleansing. Learn how this points to the finished work of Christ and our justification by faith through that work.
",https://www.josephprince.com/sermons/the-ashes-of-the-red-heifer?sku=20040521M3
669,The Cleansing Power Of The Word Of God ,13 May 2004,"Through this study on the law of vows in the Old Testament, you will see the different facets of Jesus&#039; love for you. In addition, you will also discover how the Word of God has the power to cleanse us from all uncleanliness.
",https://www.josephprince.com/sermons/the-cleansing-power-of-the-word-of-god?sku=20040513M3
670,Resting In His Faith That Never Wavers ,9 May 2004,NIL,https://www.josephprince.com/sermons/resting-in-his-faith-that-never-wavers?sku=20040509M3
671,The Law Of Jealousy - Grace Revealed ,6 May 2004,"Based on the law of jealousy in the Old Testament, the bitter water will bring a curse if you fail the test. But in the new covenant, we are in Christ. And the grace of God turns that bitter water into sweet blessings.
",https://www.josephprince.com/sermons/the-law-of-jealousy-grace-revealed?sku=20040506M3
672,Rest—Where No Curse Can Alight ,2 May 2004,"The place of rest is a place where the curse of the law cannot be enforced in our lives. But what does it mean to be at rest? This message teaches you how to rest in the finished work of Christ.
",https://www.josephprince.com/sermons/rest-where-no-curse-can-alight?sku=20040502M3
673,The Love Of Christ As Seen In Leviticus ,29 April 2004,"The Old Testament was written to unveil Christ and His love for us. That is also the reason God gave the law. Through this study on the law of leprosy, you will discover the different facets of Jesus&#039; love and sacrifice for us.
",https://www.josephprince.com/sermons/the-love-of-christ-as-seen-in-leviticus?sku=20040429M3
674,Increasing Your Faith To Receive From The Lord ,18 April 2004,"Drawing principles from Mark 5:21-43 (the account of the woman with the issue of blood for 12 years), we learn that we do not have to persuade God to heal, but we must convince ourselves that because of Christ&#039;s sufferings on the cross, healing is already ours! We just have to reach out in faith to receive what already belongs to us.
",https://www.josephprince.com/sermons/increasing-your-faith-to-receive-from-the-lord?sku=20040418M3
675,The Passion Of The Christ - Why? ,11 April 2004,"In this continuing study of Jesus as our peace offering, this voluntary and celebratory offering is seen from the perspective of the priest instead of the one bringing the offering. Listen and be amazed as the beauty and perfection of Jesus&#039; love for us is revealed.
",https://www.josephprince.com/sermons/the-passion-of-the-christ-why?sku=20040411M3
676,God Has Made The Way For Restoration. Claim It! ,4 April 2004,"God can restore to you what the devil has stolen. Whether it is your health, marriage, children or job, when God restores, He does it with style - it will be better in quantity and/or quality! So don&#039;t despair. Find out now how you can claim your restoration in Christ!
",https://www.josephprince.com/sermons/god-has-made-the-way-for-restoration-claim-it?sku=20040404M3
677,Keys To Increase The Favour Of God In Your Life ,2 April 2004,"Understand how to increase the favour of God in your life through the study of the burnt offering in Leviticus.
",https://www.josephprince.com/sermons/keys-to-increase-the-favour-of-god-in-your-life?sku=20040402M3
678,Walking In The Undeserved Favour Of God ,28 March 2004,"The glory of God is His favour. We have Christ in us, the hope of glory. Therefore, we are the highly favoured children of God. Listen to this message and learn&amp;nbsp; how you&amp;nbsp;can walk in the undeserved favour of God today!
",https://www.josephprince.com/sermons/walking-in-the-undeserved-favour-of-god?sku=20040328M3
679,2 Key Principles To Inherit God's Blessings ,25 March 2004,"How do you manifest the blessings of God in your life? The Bible gives two key principles - principles that Abraham himself used. Listen to this message and discover the two principles for yourself, and start walking in a greater measure of God&#039;s blessings!
",https://www.josephprince.com/sermons/2-key-principles-to-inherit-gods-blessings?sku=20040325M3
680,The Extent Of Forgiveness Received Is The Extent Of Healing Received ,14 March 2004,"In the Bible, God prioritises forgiveness of sins above all other blessings. There is always a divine order before the manifestion of God&#039;s healing in our lives. The more you understand how much God has forgiven you, the more you will enjoy healing in your life.&amp;nbsp;&amp;nbsp;&amp;nbsp;
",https://www.josephprince.com/sermons/the-extent-of-forgiveness-received-is-the-extent-of-healing-received?sku=20040314M3
681,Christ's Perfect Sacrifice Has Set You Free From Sins And Sin ,12 March 2004,"In this message, find out how Christ came to the world to take away not just our sins from us but also all sense of sin-consciousness. Listen and be blessed as you learn how to walk boldly on His righteousness.
",https://www.josephprince.com/sermons/christs-perfect-sacrifice-has-set-you-free-from-sins-and-sin?sku=20040312M3
682,Your Life Outside Is What You See Inside ,7 March 2004,"We know that God is faithful to His Word, yet we don&#039;t see always the manifestation of His promises in our lives. This message shows you how God is faithful to grant you your heart&#039;s desires, but before you see anything manifest outwardly, you need to see it happening first on the inside. Listen to this message and receive a fresh impartation of faith to see and experience all that God has for you!
",https://www.josephprince.com/sermons/your-life-outside-is-what-you-see-inside?sku=20040307M3
683,Our Lord Loves To Give ,5 March 2004,"Catch a revelation of God&#039;s generous heart of love towards us as you listen to this message. Learn how God is delighted when we see Him as a giver, and when we take our place as receivers of His endless blessings and provision. Find out how much God wants to empower you with His wisdom, health and prosperity and see you enjoying His abundance!
",https://www.josephprince.com/sermons/our-lord-loves-to-give?sku=20040305M3
684,Becoming Stress-Free And Healthy ,29 February 2004,"Rest assured that your heavenly Father knows what&#039;s best for you. While the people of the world are seeking after health and wealth, God wants to give it to you freely. Receive fresh revelation from Matthew 6:25-34 and enjoy the quality life with no stress.
",https://www.josephprince.com/sermons/becoming-stress-free-and-healthy?sku=20040229M3
685,Out Of Your Belly Shall Flow Rivers To Heal ,27 February 2004,"God wants us to combat stress by releasing the gift of praying in tongues daily. This will cause rivers of living water to flow out of your belly. Discover what are the effects of the living water in your life, and sicknesses and diseases will be far from you.
",https://www.josephprince.com/sermons/out-of-your-belly-shall-flow-rivers-to-heal?sku=20040227M3
686,Go With His Flow! ,20 February 2004,"Do you know that God delights in doing you good? So, let your thoughts be free from worry and your walk with God free from self-effort. And see Him manifest His goodness in your life. All you have to do is to go with HIS flow!
",https://www.josephprince.com/sermons/go-with-his-flow?sku=20040220M3
687,Superabundant Grace That Turns Your Trials Around ,15 February 2004,"God is able to transform any area of weakness in our lives into a tower of strength. This anointed message opens your eyes to realise that His grace is far more super-abundant than any challenge that we can see and feel.
",https://www.josephprince.com/sermons/superabundant-grace-that-turns-your-trials-around?sku=20040215M3
688,Divine Life Flows Into Your Body When It Belongs To God ,13 February 2004,"Do you know that God cares about your physical body? In fact, He said that your body is the temple of God. Find out what happens when you give your body to the Lord and enjoy a new level of health you have never experienced before.
",https://www.josephprince.com/sermons/divine-life-flows-into-your-body-when-it-belongs-to-god?sku=20040213M3
689,Just A Groan Will Reach The Throne ,8 February 2004,"One way to activate our new covenant with God is by discerning the Lord&#039;s body through the Holy Communion. The other is to simply groan before God when you have no idea how to pray because your groans will reach God&#039;s throne.
",https://www.josephprince.com/sermons/just-a-groan-will-reach-the-throne?sku=20040208M3
690,The Three Effects Of The New Covenant ,5 February 2004,"Listen to this study of the new covenant and learn about the background, terms, results and effects of the new covenant operating in our lives. If you would like to be led by the Lord from the inside, know Him intuitively and walk in supernatural protection and provision, listen and learn how you only need to believe for God&#039;s &#039;I wills&#039; to be activated in your life!
",https://www.josephprince.com/sermons/the-three-effects-of-the-new-covenant?sku=20040205M3
691,Living In The Secret Place Of The Most High ,29 January 2004,"In this enlightening message, you willl learn about the significance of the mercy seat, the golden standing boards and the roof covering of the Tabernacle in the light of the new covenant. Listen and be amazed by how easy God has made it for His children to live in the secret place of the Most High.
",https://www.josephprince.com/sermons/living-in-the-secret-place-of-the-most-high?sku=20040129M3
692,God's Superabundant Grace And Much More! ,25 January 2004,"Be encouraged as you hear how to look beyond the natural symptoms of sickness, pain and poverty in your circumstances and experience God&#039;s goodness and generosity towards you in superabundant measure. Find out how you don&#039;t have to be discouraged by sin and its consequences around you, but instead expect to see His abundant provision, healing and prosperity manifesting in your life.
",https://www.josephprince.com/sermons/gods-superabundant-grace-and-much-more?sku=20040125M3
693,Living A Life Worth Living ,18 January 2004,"Many are living for the moment only to end up with a lifetime of sorrows, pain, emptiness and even suicidal thoughts. What is a life worth living then? It is a life centred on Christ who loves us. When you are occupied with His love and what He has done for you, life is beautiful!
",https://www.josephprince.com/sermons/living-a-life-worth-living?sku=20040118M3
694,Supernatural Transformation And Holiness #2 ,16 January 2004,"In this continuing message, discover another key to supernatural transformation and holiness. In addition, God&#039;s present-day desire for His people is revealed through the contrast between the old covenant and the new covenant.
",https://www.josephprince.com/sermons/supernatural-transformation-and-holiness-2?sku=20040116M3
695,Follow After Righteousness And Blessings Will Follow After You ,11 January 2004,"Do you find that, the more you run after God&#039;s blessings, the further His blessings seem to elude you? The truth is that when we follow after God&#039;s righteousness, His blessings will follow after us. But how do we actually follow after righteousness? Listen and be amazed!
",https://www.josephprince.com/sermons/follow-after-righteousness-and-blessings-will-follow-after-you?sku=20040111M3
696,Supernatural Transformation And Holiness #1 ,8 January 2004,"Many Christians are sincere about living uprightly and glorifying God. But the problem lies in the fact that many of us are depending on self-effort to change ourselves. Listen to this message and discover the truth about God&#039;s way to supernatural transformation and holiness.
",https://www.josephprince.com/sermons/supernatural-transformation-and-holiness-1?sku=20040108M3
697,Let Go And Let God! ,4 January 2004,"Do you know that worrying restricts God&#039;s supply from flowing into your life? But the devil cannot handle a Christian who is free from cares, stress and worries. Listen to this message and discover what happens when you let go of all your problems and let God handle them!
",https://www.josephprince.com/sermons/let-go-and-let-god?sku=20040104M3
698,The Significance Of The Cross ,28 December 2003,NIL,https://www.josephprince.com/sermons/the-significance-of-the-cross?sku=20031228M3
699,The Power Of What You Say ,7 December 2003,"The Bible tells us that life and death are in the power of your tongue. Listen and learn how to use the authority you&#039;ve been given by Christ to take authority over symptoms of the curse you see in your own body. Learn from the many illuminating illustrations in this message the power of your words over your body and your life and how to have the God kind of faith.
",https://www.josephprince.com/sermons/the-power-of-what-you-say?sku=20031207M3
700,The Health-Giving Power Of The Holy Communion ,23 November 2003,"God wants us to enjoy health and wholeness that is why He instituted the Holy Communion. However, when it is taken as a ritual, it yields no benefits to the partaker. To find out the significance of the Holy Communion in your life, listen to the message and be a testimony of His goodness in your life.
",https://www.josephprince.com/sermons/the-health-giving-power-of-the-holy-communion?sku=20031123VJ
701,Understanding The Significance Of Trees In The Bible ,20 November 2003,"The Bible holds many secrets for those hungry to seek them out. In this message, Joseph Prince opens up the topic of trees in the Bible and explains what the different trees mentioned mean. For example, why does God say that the righteous shall flourish like a palm tree and grow like a cedar? And then Solomon, to whom God gave wisdom, also spoke about the cedars of Lebanon and the hyssop. Find out the hidden meaning behind these trees and be blessed by the revelation that God has for you the believer today!
",https://www.josephprince.com/sermons/understanding-the-significance-of-trees-in-the-bible?sku=20031120M3
702,How Not To Be Devoured By The Devil ,16 November 2003,"God&#039;s Word says that if we resist the devil, he will flee from us. How then, do we resist him? Is it by trying our best to do good and not evil? Listen to this message and see why it is not by keeping God&#039;s laws that we resist the devil and remain undevourable, but by being steadfast in the faith - that we are justified in God&#039;s eyes by faith in Jesus&#039; finished work.
",https://www.josephprince.com/sermons/how-not-to-be-devoured-by-the-devil?sku=20031116M3
703,The Principle Of Speaking To The Rock ,13 November 2003,"The Old Testament is full of pictures of Jesus, and it&#039;s exciting when we see Him revealed. In Exodus, there are two instances where Moses struck a rock to bring forth water for the thirsty Israelites in the wilderness. Did you know that in both instances, the rock refers to Jesus? Listen to this message as Joseph Prince reveals a beautiful and touching depiction of our Saviour and receive eye-opening truths that will strengthen your faith and help you receive the blessing that you need in the midst of your own wilderness.
",https://www.josephprince.com/sermons/the-principle-of-speaking-to-the-rock?sku=20031113M3
704,Forgiveness Of Sins Is The Power Of The Gospel ,7 November 2003,"Some people think that forgiveness of sins is the ABC of Christianity. You learn it right when you are born again and then you move on to more serious matters. But nothing can be further from the truth! When Peter preached to Cornelius&#039; household, the Holy Spirit chose to fall only when Peter declared that whoever believes in Jesus will receive the forgiveness of sins. Listen to this powerful message and let Joseph Prince show you why forgiveness of sins is a cornerstone of Christianity.   
",https://www.josephprince.com/sermons/forgiveness-of-sins-is-the-power-of-the-gospel?sku=20031107M3
705,Make Much Of God And God Will Make Much Of You ,2 November 2003,"When you are going through a trial, every waking moment you have is filled with thoughts about your - you make much of it. But God wants you to focus on Him instead, to make much of Him and His precious promises in His Word, because whatever you are conscious of and focused on, you will ultimately manifest. So if you have been making much of what the enemy is doing in your life, then let this message by Joseph Prince free you and cause you to make much of God, His promises to you and what He is doing in your life.
",https://www.josephprince.com/sermons/make-much-of-god-and-god-will-make-much-of-you?sku=20031102M3
706,Understanding The Major Covenants Of The Bible ,30 October 2003,"If everything in the covenant has been done by Christ and there is nothing left for us to do, then why is the church as&amp;nbsp;a whole not walking in the blessings of the new covenant? Find out the clause that activates all the blessings of the new covenant in your life as you listen to this message and discover how God wants to bless us and what He simply wants us to do to that will result in us walking in the blessings of the new covenant.
",https://www.josephprince.com/sermons/understanding-the-major-covenants-of-the-bible?sku=20031030M3
707,Experiencing Love That Casts Out Fear ,26 October 2003,"Do not judge God&#039;s love for you based on your circumstances. For when you do that, the devil can ride roughshod over your life. The cross is the measure of God&#039;s love for us. When you believe that, you will win in every crisis you face.
",https://www.josephprince.com/sermons/experiencing-love-that-casts-out-fear?sku=20031026M3
708,The Blessings Of The Third Day ,19 October 2003,"We have crossed into the third day in God&#039;s prophetic timeline, and an abundance of blessings is in store for the third-day generation. But what are these blessings? What marks the third-day generation? Get the answers and more in this end-times message.
",https://www.josephprince.com/sermons/the-blessings-of-the-third-day?sku=20031019M3
